Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0.8273772438659699,1,-0.565736461074875,0.4327933656785018,-0.4736736092984604,-0.5024451714361923,0.5859541426526597
1,-1.5661069258891576,0,0.6638610320657842,0.4327933656785018,-0.4736736092984604,0.7868452935884461,-1.942303199253005
1,0.8273772438659699,0,-0.25833708778971015,-0.47454519624983954,-0.4736736092984604,-0.48885425758524864,0.5859541426526597
1,-1.5661069258891576,0,0.43331150210191055,0.4327933656785018,-0.4736736092984604,0.42073023606864773,0.5859541426526597
0,0.8273772438659699,1,0.43331150210191055,-0.47454519624983954,-0.4736736092984604,-0.48633742168692573,0.5859541426526597
0,0.8273772438659699,1,-0.10463740114712775,-0.47454519624983954,-0.4736736092984604,-0.47811642890864375,-0.6781745283001727
0,-1.5661069258891576,1,1.893458525206443,-0.47454519624983954,-0.4736736092984604,0.3958135606752509,0.5859541426526597
0,0.8273772438659699,1,-2.102733327500699,2.2474704895351842,0.7676298785983874,-0.22408312108167944,0.5859541426526597
1,0.8273772438659699,0,-0.181487244468419,-0.47454519624983954,2.0089333664952354,-0.42425614068453377,0.5859541426526597
1,-0.3693648410115938,0,-1.1805352076452045,0.4327933656785018,-0.4736736092984604,-0.04295550208861423,-1.942303199253005
1,0.8273772438659699,0,-1.9490336408581164,0.4327933656785018,0.7676298785983874,-0.31217237752298105,0.5859541426526597
1,-1.5661069258891576,0,2.200857898491608,-0.47454519624983954,-0.4736736092984604,-0.11384570873513633,0.5859541426526597
0,0.8273772438659699,1,-0.7194361477174573,-0.47454519624983954,-0.4736736092984604,-0.48633742168692573,0.5859541426526597
0,0.8273772438659699,1,0.7407108753870754,0.4327933656785018,5.73284383018578,-0.01870931177853073,0.5859541426526597
0,0.8273772438659699,0,-1.1805352076452045,-0.47454519624983954,-0.4736736092984604,-0.4902797934380588,0.5859541426526597
1,-0.3693648410115938,0,1.9703083685277345,-0.47454519624983954,-0.4736736092984604,-0.3262666585535893,0.5859541426526597
0,0.8273772438659699,1,-2.102733327500699,3.1548090514635256,0.7676298785983874,-0.06199888922968463,-0.6781745283001727
1,-0.3693648410115938,1,-0.10463740114712775,-0.47454519624983954,-0.4736736092984604,-0.38667072011333886,0.5859541426526597
0,0.8273772438659699,0,0.12591212881674577,0.4327933656785018,-0.4736736092984604,-0.28599728418042286,0.5859541426526597
1,0.8273772438659699,0,-0.10463740114712775,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,-1.942303199253005
0,-0.3693648410115938,1,0.43331150210191055,-0.47454519624983954,-0.4736736092984604,-0.12491978668775713,0.5859541426526597
1,-0.3693648410115938,1,0.3564616587806193,-0.47454519624983954,-0.4736736092984604,-0.38667072011333886,0.5859541426526597
1,0.8273772438659699,0,-1.1036853643239133,-0.47454519624983954,-0.4736736092984604,-0.4867562231804067,-0.6781745283001727
1,-1.5661069258891576,1,-0.10463740114712775,-0.47454519624983954,-0.4736736092984604,0.06635974158478328,0.5859541426526597
0,0.8273772438659699,0,-1.6416342675729516,2.2474704895351842,0.7676298785983874,-0.22408312108167944,0.5859541426526597
1,0.8273772438659699,0,0.6638610320657842,0.4327933656785018,5.73284383018578,-0.016444159470040128,0.5859541426526597
0,0.8273772438659699,1,-0.10463740114712775,-0.47454519624983954,-0.4736736092984604,-0.5029485386158568,-1.942303199253005
0,-1.5661069258891576,1,-0.7962859910387484,2.2474704895351842,2.0089333664952354,4.647001076532463,0.5859541426526597
1,0.8273772438659699,0,-0.10463740114712775,-0.47454519624983954,-0.4736736092984604,-0.48977642625839407,-0.6781745283001727
0,0.8273772438659699,1,-0.10463740114712775,-0.47454519624983954,-0.4736736092984604,-0.4894421904510969,0.5859541426526597
0,-1.5661069258891576,1,0.8175607187083666,-0.47454519624983954,-0.4736736092984604,-0.09027201697708473,-1.942303199253005
1,-1.5661069258891576,0,-0.10463740114712775,0.4327933656785018,-0.4736736092984604,2.301728820789,-1.942303199253005
1,0.8273772438659699,0,-0.10463740114712775,-0.47454519624983954,-0.4736736092984604,-0.49237782784290063,-0.6781745283001727
